Id,Label,soc_major,soc_group,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Degree
27-3023.00,"News Analysts, Reporters, and Journalists",27,Arts & Media,14,8,0.30301,0.359837,0.004689,23
27-3031.00,Public Relations Specialists,27,Arts & Media,2,9,0.303213,0.35546,0.005181,17
27-3042.00,Technical Writers,27,Arts & Media,2,11,0.182735,0.193609,0,1
27-3043.00,Writers and Authors,27,Arts & Media,2,9,0.265689,0.30059,0.00001,5
27-3043.05,"Poets, Lyricists and Creative Writers",27,Arts & Media,2,10,0.223483,0.243115,0.003299,2
27-3091.00,Interpreters and Translators,27,Arts & Media,14,9,0.273551,0.315601,0.000502,6
27-4021.00,Photographers,27,Arts & Media,14,11,0.182441,0.196375,0,1
29-1011.00,Chiropractors,29,Healthcare Practitioners,8,10,0.306703,0.375891,0.007098,33
29-1023.00,Orthodontists,29,Healthcare Practitioners,8,11,0.24513,0.276723,0.000033,4
29-1031.00,Dietitians and Nutritionists,29,Healthcare Practitioners,8,11,0.247001,0.282763,0,5
29-1041.00,Optometrists,29,Healthcare Practitioners,8,10,0.267572,0.30991,0.000407,9
