Source,Target,Weight
13-1081.00,13-1141.00,0.9511
13-1081.00,13-1199.04,0.9635
13-1081.00,15-1299.09,0.959
13-1081.00,25-4012.00,0.9607
13-1081.00,27-1011.00,0.9693
13-1081.00,27-2041.00,0.9503
13-1081.00,41-1011.00,0.9515
13-1081.02,13-1111.00,0.9537
13-1081.02,13-1199.04,0.9622
13-1081.02,15-1299.03,0.9519
13-1081.02,15-1299.09,0.952
13-1081.02,25-4012.00,0.963
13-1111.00,13-1141.00,0.9638
13-1111.00,13-1161.00,0.9585
13-1111.00,13-1199.04,0.967
13-1111.00,13-1199.05,0.961
13-1111.00,13-2052.00,0.9502
13-1111.00,13-2053.00,0.9576
13-1111.00,13-2061.00,0.9637
13-1111.00,15-1299.03,0.9517
13-1111.00,19-3051.00,0.9677
13-1111.00,19-3099.01,0.9595
13-1111.00,27-2041.00,0.9577
13-1111.00,27-3031.00,0.9566
13-1121.00,27-1025.00,0.9529
13-1131.00,13-2011.00,0.9506
13-1131.00,13-2052.00,0.9524
13-1131.00,13-2053.00,0.9534
13-1131.00,41-3031.00,0.9537
13-1131.00,41-4011.00,0.9549
13-1131.00,41-4012.00,0.9505
13-1131.00,41-9022.00,0.9524
13-1141.00,13-1161.00,0.972
13-1141.00,13-1199.05,0.9641
13-1141.00,13-2011.00,0.9575
13-1141.00,13-2052.00,0.96
13-1141.00,13-2053.00,0.9708
13-1141.00,13-2061.00,0.9649
13-1141.00,13-2071.00,0.9568
13-1141.00,13-2081.00,0.9502
13-1141.00,19-2041.01,0.9717
13-1141.00,19-3011.00,0.958
13-1141.00,19-3022.00,0.9513
13-1141.00,19-3051.00,0.9644
13-1141.00,19-3094.00,0.9542
13-1141.00,19-3099.01,0.9612
13-1141.00,23-1011.00,0.9504
13-1141.00,25-1011.00,0.953
13-1141.00,27-2041.00,0.9501
13-1141.00,33-3021.06,0.9655
13-1141.00,43-4011.00,0.9526
13-1151.00,21-1091.00,0.9646
13-1151.00,21-2021.00,0.9673
13-1151.00,25-1011.00,0.9513
13-1151.00,25-1031.00,0.9696
13-1151.00,25-1062.00,0.9501
13-1151.00,25-1067.00,0.9525
13-1151.00,25-1081.00,0.9597
13-1151.00,25-1082.00,0.9528
13-1151.00,25-1111.00,0.9601
13-1151.00,25-1113.00,0.9627
13-1151.00,25-1121.00,0.9673
13-1151.00,25-1122.00,0.9638
13-1151.00,25-1124.00,0.9572
13-1151.00,25-1125.00,0.9666
13-1151.00,25-1126.00,0.956
13-1151.00,25-1192.00,0.9532
13-1151.00,25-1193.00,0.9586
13-1151.00,25-2021.00,0.9606
13-1151.00,25-2022.00,0.9512
13-1151.00,25-2023.00,0.9613
13-1151.00,25-2031.00,0.9669
13-1151.00,25-2051.00,0.9508
13-1151.00,25-2058.00,0.9676
13-1151.00,25-2059.01,0.9579
13-1151.00,25-9031.00,0.9707
13-1151.00,27-2022.00,0.9553
13-1151.00,27-2032.00,0.9755
13-1151.00,29-1122.00,0.9634
13-1151.00,29-1125.00,0.9558
13-1161.00,13-1199.05,0.9652
13-1161.00,13-2053.00,0.9581
13-1161.00,13-2061.00,0.9573
13-1161.00,15-2011.00,0.9509
13-1161.00,15-2051.01,0.9572
13-1161.00,19-2021.00,0.9513
13-1161.00,19-2041.01,0.9655
13-1161.00,19-2041.03,0.956
13-1161.00,19-3011.00,0.977
13-1161.00,19-3022.00,0.9771
13-1161.00,19-3032.00,0.9645
13-1161.00,19-3041.00,0.95
13-1161.00,19-3051.00,0.9561
13-1161.00,19-3092.00,0.9634
13-1161.00,19-3094.00,0.9588
13-1161.00,19-3099.01,0.9763
13-1161.00,25-1031.00,0.9511
13-1161.00,25-1063.00,0.9501
13-1161.00,33-3021.06,0.9657
13-1161.01,13-1199.04,0.9607
13-1161.01,13-2011.00,0.9538
13-1161.01,15-1211.01,0.9532
13-1161.01,15-1299.03,0.9752
13-1161.01,15-2051.01,0.9543
13-1161.01,27-1024.00,0.9516
13-1199.04,13-1199.07,0.96
13-1199.04,13-2061.00,0.9662
